FID IID BAPS_1 BAPS_2 BAPS_3 BAPS_4 BAPS_5 BAPS_6 BAPS_7 BAPS_8 BAPS_9 BAPS_10
307048_C10_hpgen5583823 307048_C10_hpgen5583823 0 0 1 0 0 0 0 0 0 0
307045_B02_hpgen5583463 307045_B02_hpgen5583463 0 0 1 0 0 0 0 0 0 0
307049_H05_hpgen5583887 307049_H05_hpgen5583887 0 0 1 0 0 0 0 0 0 0
307045_H10_hpgen5583536 307045_H10_hpgen5583536 0 0 1 0 0 0 0 0 0 0
307048_F01_hpgen5583754 307048_F01_hpgen5583754 0 0 1 0 0 0 0 0 0 0
307048_F06_hpgen5583794 307048_F06_hpgen5583794 0 0 1 0 0 0 0 0 0 0
307049_F11_hpgen5583934 307049_F11_hpgen5583934 0 0 1 0 0 0 0 0 0 0
307049_G06_hpgen5583894 307049_G06_hpgen5583894 0 0 1 0 0 0 0 0 0 0
307048_D12_hpgen5583842 307048_D12_hpgen5583842 0 0 1 0 0 0 0 0 0 0
307047_E02_hpgen5583664 307047_E02_hpgen5583664 0 0 1 0 0 0 0 0 0 0
307051_D10_hpgen5584118 307051_D10_hpgen5584118 0 0 1 0 0 0 0 0 0 0
307049_C12_hpgen5583939 307049_C12_hpgen5583939 0 0 1 0 0 0 0 0 0 0
307051_A12_hpgen5584134 307051_A12_hpgen5584134 0 0 1 0 0 0 0 0 0 0
307052_F04_hpgen5584192 307052_F04_hpgen5584192 0 0 1 0 0 0 0 0 0 0
307052_A11_hpgen5584255 307052_A11_hpgen5584255 0 0 1 0 0 0 0 0 0 0
307052_E09_hpgen5584243 307052_E09_hpgen5584243 0 0 1 0 0 0 0 0 0 0
307053_A01_hpgen5584272 307053_A01_hpgen5584272 0 0 1 0 0 0 0 0 0 0
307052_C07_hpgen5584225 307052_C07_hpgen5584225 0 0 1 0 0 0 0 0 0 0
307045_H12_hpgen5583553 307045_H12_hpgen5583553 0 0 1 0 0 0 0 0 0 0
307047_A05_hpgen5583684 307047_A05_hpgen5583684 0 0 1 0 0 0 0 0 0 0
307050_C02_hpgen5583955 307050_C02_hpgen5583955 0 0 1 0 0 0 0 0 0 0
307046_G07_hpgen5583609 307046_G07_hpgen5583609 0 0 1 0 0 0 0 0 0 0
307045_F07_hpgen5583508 307045_F07_hpgen5583508 0 0 1 0 0 0 0 0 0 0
307045_B09_hpgen5583521 307045_B09_hpgen5583521 0 0 1 0 0 0 0 0 0 0
307049_F04_hpgen5583876 307049_F04_hpgen5583876 0 0 1 0 0 0 0 0 0 0
307050_B06_hpgen5583986 307050_B06_hpgen5583986 0 0 1 0 0 0 0 0 0 0
307051_H09_hpgen5584114 307051_H09_hpgen5584114 0 0 1 0 0 0 0 0 0 0
307048_H09_hpgen5583820 307048_H09_hpgen5583820 0 0 1 0 0 0 0 0 0 0
307050_A11_hpgen5584025 307050_A11_hpgen5584025 0 0 1 0 0 0 0 0 0 0
307047_H02_hpgen5583667 307047_H02_hpgen5583667 0 0 1 0 0 0 0 0 0 0
307048_D06_hpgen5583792 307048_D06_hpgen5583792 0 0 1 0 0 0 0 0 0 0
307045_D06_hpgen5583498 307045_D06_hpgen5583498 0 0 1 0 0 0 0 0 0 0
307047_F02_hpgen5583665 307047_F02_hpgen5583665 0 0 1 0 0 0 0 0 0 0
307047_F08_hpgen5583713 307047_F08_hpgen5583713 0 0 1 0 0 0 0 0 0 0
307050_A08_hpgen5584001 307050_A08_hpgen5584001 0 0 1 0 0 0 0 0 0 0
307052_E04_hpgen5584191 307052_E04_hpgen5584191 0 0 1 0 0 0 0 0 0 0
307052_G05_hpgen5584207 307052_G05_hpgen5584207 0 0 1 0 0 0 0 0 0 0
307053_D01_hpgen5584275 307053_D01_hpgen5584275 0 0 1 0 0 0 0 0 0 0
307047_C06_hpgen5583694 307047_C06_hpgen5583694 0 0 1 0 0 0 0 0 0 0
307049_E08_hpgen5583908 307049_E08_hpgen5583908 0 0 1 0 0 0 0 0 0 0
307047_H09_hpgen5583723 307047_H09_hpgen5583723 0 0 1 0 0 0 0 0 0 0
307049_F01_hpgen5583852 307049_F01_hpgen5583852 0 0 1 0 0 0 0 0 0 0
307049_E11_hpgen5583932 307049_E11_hpgen5583932 0 0 1 0 0 0 0 0 0 0
307050_D07_hpgen5583996 307050_D07_hpgen5583996 0 0 1 0 0 0 0 0 0 0
307051_B06_hpgen5584084 307051_B06_hpgen5584084 0 0 1 0 0 0 0 0 0 0
307048_D10_hpgen5583824 307048_D10_hpgen5583824 0 0 0 1 0 0 0 0 0 0
307047_A08_hpgen5583708 307047_A08_hpgen5583708 0 0 0 1 0 0 0 0 0 0
307045_F06_hpgen5583500 307045_F06_hpgen5583500 0 0 0 1 0 0 0 0 0 0
307050_F04_hpgen5583974 307050_F04_hpgen5583974 0 0 0 1 0 0 0 0 0 0
307047_B08_hpgen5583709 307047_B08_hpgen5583709 0 0 0 1 0 0 0 0 0 0
307045_C06_hpgen5583497 307045_C06_hpgen5583497 0 0 0 1 0 0 0 0 0 0
307052_E02_hpgen5584166 307052_E02_hpgen5584166 0 0 0 1 0 0 0 0 0 0
307052_H09_hpgen5584246 307052_H09_hpgen5584246 0 0 0 1 0 0 0 0 0 0
307053_B02_hpgen5584281 307053_B02_hpgen5584281 0 0 0 1 0 0 0 0 0 0
307052_E11_hpgen5584260 307052_E11_hpgen5584260 0 0 0 1 0 0 0 0 0 0
307052_G10_hpgen5584253 307052_G10_hpgen5584253 0 0 0 1 0 0 0 0 0 0
307050_D03_hpgen5583964 307050_D03_hpgen5583964 0 0 0 1 0 0 0 0 0 0
307051_G06_hpgen5584089 307051_G06_hpgen5584089 0 0 0 1 0 0 0 0 0 0
307048_H03_hpgen5583772 307048_H03_hpgen5583772 0 0 0 1 0 0 0 0 0 0
307046_C02_hpgen5583565 307046_C02_hpgen5583565 0 0 0 1 0 0 0 0 0 0
307049_D08_hpgen5583907 307049_D08_hpgen5583907 0 0 0 1 0 0 0 0 0 0
307046_C12_hpgen5583646 307046_C12_hpgen5583646 0 0 0 1 0 0 0 0 0 0
307050_A07_hpgen5583993 307050_A07_hpgen5583993 0 0 0 1 0 0 0 0 0 0
307051_D08_hpgen5584102 307051_D08_hpgen5584102 0 0 0 1 0 0 0 0 0 0
307048_B04_hpgen5583774 307048_B04_hpgen5583774 0 0 0 1 0 0 0 0 0 0
307048_E04_hpgen5583777 307048_E04_hpgen5583777 0 0 0 1 0 0 0 0 0 0
307049_B01_hpgen5583848 307049_B01_hpgen5583848 0 0 0 1 0 0 0 0 0 0
307045_G04_hpgen5583485 307045_G04_hpgen5583485 0 0 0 0 1 0 0 0 0 0
307048_E07_hpgen5583801 307048_E07_hpgen5583801 0 0 0 0 1 0 0 0 0 0
307047_F11_hpgen5583737 307047_F11_hpgen5583737 0 0 0 0 1 0 0 0 0 0
307049_A03_hpgen5583863 307049_A03_hpgen5583863 0 0 0 0 1 0 0 0 0 0
307048_E05_hpgen5583785 307048_E05_hpgen5583785 0 0 0 0 1 0 0 0 0 0
307047_B10_hpgen5583725 307047_B10_hpgen5583725 0 0 0 0 1 0 0 0 0 0
307048_B06_hpgen5583790 307048_B06_hpgen5583790 0 0 0 0 1 0 0 0 0 0
307049_H07_hpgen5583903 307049_H07_hpgen5583903 0 0 0 0 1 0 0 0 0 0
307046_E11_hpgen5583639 307046_E11_hpgen5583639 0 0 0 0 1 0 0 0 0 0
307048_E03_hpgen5583769 307048_E03_hpgen5583769 0 0 0 0 1 0 0 0 0 0
307050_C04_hpgen5583971 307050_C04_hpgen5583971 0 0 0 0 1 0 0 0 0 0
307050_H07_hpgen5584000 307050_H07_hpgen5584000 0 0 0 0 1 0 0 0 0 0
307050_E07_hpgen5583997 307050_E07_hpgen5583997 0 0 0 0 1 0 0 0 0 0
307050_C03_hpgen5583963 307050_C03_hpgen5583963 0 0 0 0 1 0 0 0 0 0
307053_F04_hpgen5584301 307053_F04_hpgen5584301 0 0 0 0 1 0 0 0 0 0
307049_E12_hpgen5583941 307049_E12_hpgen5583941 0 0 0 0 1 0 0 0 0 0
307053_B01_hpgen5584273 307053_B01_hpgen5584273 0 0 0 0 1 0 0 0 0 0
307047_A01_hpgen5583652 307047_A01_hpgen5583652 0 0 0 0 1 0 0 0 0 0
307050_E02_hpgen5583957 307050_E02_hpgen5583957 0 0 0 0 1 0 0 0 0 0
307052_A02_hpgen5584159 307052_A02_hpgen5584159 0 0 0 0 1 0 0 0 0 0
307052_C08_hpgen5584233 307052_C08_hpgen5584233 0 0 0 0 1 0 0 0 0 0
307052_E10_hpgen5584251 307052_E10_hpgen5584251 0 0 0 0 1 0 0 0 0 0
307053_C02_hpgen5584282 307053_C02_hpgen5584282 0 0 0 0 1 0 0 0 0 0
307052_F03_hpgen5584178 307052_F03_hpgen5584178 0 0 0 0 1 0 0 0 0 0
307048_E08_hpgen5583809 307048_E08_hpgen5583809 0 0 0 0 1 0 0 0 0 0
307047_F09_hpgen5583721 307047_F09_hpgen5583721 0 0 0 0 1 0 0 0 0 0
307045_E05_hpgen5583491 307045_E05_hpgen5583491 0 0 0 0 1 0 0 0 0 0
307045_C09_hpgen5583522 307045_C09_hpgen5583522 0 0 0 0 1 0 0 0 0 0
307047_E01_hpgen5583656 307047_E01_hpgen5583656 0 0 0 0 1 0 0 0 0 0
307048_B09_hpgen5583814 307048_B09_hpgen5583814 0 0 0 0 1 0 0 0 0 0
307047_C02_hpgen5583662 307047_C02_hpgen5583662 0 0 0 0 1 0 0 0 0 0
307046_B10_hpgen5583628 307046_B10_hpgen5583628 0 0 0 0 1 0 0 0 0 0
307046_E12_hpgen5583648 307046_E12_hpgen5583648 0 0 0 0 0 1 0 0 0 0
307046_E09_hpgen5583623 307046_E09_hpgen5583623 0 0 0 0 0 1 0 0 0 0
307046_G06_hpgen5583601 307046_G06_hpgen5583601 0 0 0 0 0 1 0 0 0 0
307049_C07_hpgen5583898 307049_C07_hpgen5583898 0 0 0 0 0 1 0 0 0 0
307047_F03_hpgen5583673 307047_F03_hpgen5583673 0 0 0 0 0 1 0 0 0 0
307050_F07_hpgen5583998 307050_F07_hpgen5583998 0 0 0 0 0 1 0 0 0 0
307045_D04_hpgen5583482 307045_D04_hpgen5583482 0 0 0 0 0 1 0 0 0 0
307048_E11_hpgen5583833 307048_E11_hpgen5583833 0 0 0 0 0 1 0 0 0 0
307045_A03_hpgen5583470 307045_A03_hpgen5583470 0 0 0 0 0 1 0 0 0 0
307046_A05_hpgen5583587 307046_A05_hpgen5583587 0 0 0 0 0 1 0 0 0 0
307052_H01_hpgen5584158 307052_H01_hpgen5584158 0 0 0 0 0 1 0 0 0 0
307047_E06_hpgen5583696 307047_E06_hpgen5583696 0 0 0 0 0 1 0 0 0 0
307049_D01_hpgen5583850 307049_D01_hpgen5583850 0 0 0 0 0 1 0 0 0 0
307049_B08_hpgen5583905 307049_B08_hpgen5583905 0 0 0 0 0 1 0 0 0 0
307049_C03_hpgen5583865 307049_C03_hpgen5583865 0 0 0 0 0 0 1 0 0 0
307048_C11_hpgen5583831 307048_C11_hpgen5583831 0 0 0 0 0 0 1 0 0 0
307048_D03_hpgen5583768 307048_D03_hpgen5583768 0 0 0 0 0 0 1 0 0 0
307048_F10_hpgen5583826 307048_F10_hpgen5583826 0 0 0 0 0 0 1 0 0 0
